trip_date,group,period,trips,avg_fare,avg_cbd_fee
2024-04-12,CBD-bound (treated),Pre,68394,25.33484940199445,0.0
2024-04-12,Manhattan control,Pre,42544,23.329032060925357,0.0
2024-04-13,CBD-bound (treated),Pre,76525,23.194035413263673,0.0
2024-04-13,Manhattan control,Pre,40910,22.48351601075546,0.0
2024-04-14,CBD-bound (treated),Pre,61946,24.893526458528505,0.0
2024-04-14,Manhattan control,Pre,35662,25.148214065391823,0.0
2024-04-15,CBD-bound (treated),Pre,53326,27.949678018227633,0.0
2024-04-15,Manhattan control,Pre,35868,23.709168618267107,0.0
2024-04-16,CBD-bound (treated),Pre,60513,26.7071202882026,0.0
2024-04-16,Manhattan control,Pre,39127,24.000759066629293,0.0
2024-04-17,CBD-bound (treated),Pre,70015,26.04522302363788,0.0
2024-04-17,Manhattan control,Pre,44290,23.948607360578137,0.0
2024-04-18,CBD-bound (treated),Pre,74607,26.027126275014464,0.0
2024-04-18,Manhattan control,Pre,46740,24.245096491228175,0.0
2024-04-19,CBD-bound (treated),Pre,64935,25.645347655347788,0.0
2024-04-19,Manhattan control,Pre,41946,23.37684093834944,0.0
2024-04-20,CBD-bound (treated),Pre,77490,24.344235127113297,0.0
2024-04-20,Manhattan control,Pre,42193,22.939808499040293,0.0
2024-04-21,CBD-bound (treated),Pre,56920,24.701769676739357,0.0
2024-04-21,Manhattan control,Pre,35043,23.897880033102396,0.0
2024-04-22,CBD-bound (treated),Pre,45898,27.112068717591388,0.0
2024-04-22,Manhattan control,Pre,33469,23.1300334638024,0.0
2024-04-23,CBD-bound (treated),Pre,53909,26.102862787289805,0.0
2024-04-23,Manhattan control,Pre,35587,23.53336302582412,0.0
2024-04-24,CBD-bound (treated),Pre,59972,26.947871840192175,0.0
2024-04-24,Manhattan control,Pre,37453,23.704030384749068,0.0
2024-04-25,CBD-bound (treated),Pre,68799,27.213044666346946,0.0
2024-04-25,Manhattan control,Pre,41509,24.495277891541768,0.0
