LocationID,Borough,Zone,ref_trips,frac_fee,in_crz
1,EWR,Newark Airport,314,0.041401273885350316,False
2,Queens,Jamaica Bay,3,0.3333333333333333,False
3,Bronx,Allerton/Pelham Gardens,216,0.046296296296296294,False
4,Manhattan,Alphabet City,10660,0.9739212007504691,True
5,Staten Island,Arden Heights,1,0.0,False
6,Staten Island,Arrochar/Fort Wadsworth,89,0.06741573033707865,False
7,Queens,Astoria,5406,0.24065852756196818,False
8,Queens,Astoria Park,21,0.19047619047619047,False
9,Queens,Auburndale,113,0.035398230088495575,False
10,Queens,Baisley Park,1423,0.18130709768095574,False
11,Brooklyn,Bath Beach,271,0.055350553505535055,False
12,Manhattan,Battery Park,824,0.9526699029126213,True
13,Manhattan,Battery Park City,21669,0.9669112557109234,True
14,Brooklyn,Bay Ridge,1289,0.08533747090768037,False
15,Queens,Bay Terrace/Fort Totten,117,0.06837606837606838,False
16,Queens,Bayside,222,0.06306306306306306,False
17,Brooklyn,Bedford,2491,0.1902850260939382,False
18,Bronx,Bedford Park,546,0.05128205128205128,False
19,Queens,Bellerose,304,0.04276315789473684,False
20,Bronx,Belmont,319,0.050156739811912224,False
21,Brooklyn,Bensonhurst East,375,0.032,False
22,Brooklyn,Bensonhurst West,597,0.05695142378559464,False
23,Staten Island,Bloomfield/Emerson Hill,25,0.2,False
24,Manhattan,Bloomingdale,9725,0.23208226221079692,False
25,Brooklyn,Boerum Hill,3379,0.2684226102397159,False
26,Brooklyn,Borough Park,992,0.04838709677419355,False
27,Queens,Breezy Point/Fort Tilden/Riis Beach,14,0.21428571428571427,False
28,Queens,Briarwood/Jamaica Hills,1069,0.0832553788587465,False
29,Brooklyn,Brighton Beach,344,0.029069767441860465,False
30,Queens,Broad Channel,17,0.0,False
31,Bronx,Bronx Park,44,0.09090909090909091,False
32,Bronx,Bronxdale,335,0.03880597014925373,False
33,Brooklyn,Brooklyn Heights,3618,0.4538419016030956,False
34,Brooklyn,Brooklyn Navy Yard,387,0.31266149870801035,False
35,Brooklyn,Brownsville,2081,0.029312830370014416,False
36,Brooklyn,Bushwick North,1967,0.16115912557193696,False
37,Brooklyn,Bushwick South,2927,0.17218995558592415,False
38,Queens,Cambria Heights,297,0.050505050505050504,False
39,Brooklyn,Canarsie,2352,0.0195578231292517,False
40,Brooklyn,Carroll Gardens,1087,0.38086476540938363,False
41,Manhattan,Central Harlem,14296,0.21271684387241185,False
42,Manhattan,Central Harlem North,8499,0.22343805153547477,False
43,Manhattan,Central Park,44139,0.5798953306599606,False
44,Staten Island,Charleston/Tottenville,0,0.0,False
45,Manhattan,Chinatown,7104,0.9580518018018018,True
46,Bronx,City Island,37,0.08108108108108109,False
47,Bronx,Claremont/Bathgate,498,0.06224899598393574,False
48,Manhattan,Clinton East,85685,0.9774639668553422,True
49,Brooklyn,Clinton Hill,2343,0.2740076824583867,False
50,Manhattan,Clinton West,21611,0.9681180880107353,True
51,Bronx,Co-Op City,740,0.03648648648648649,False
52,Brooklyn,Cobble Hill,1174,0.38841567291311757,False
53,Queens,College Point,308,0.1038961038961039,False
