LocationID,Zone,Borough,in_crz,lon,lat,trips_per_day_pre,trips_per_day_post,pct_change
24,Bloomingdale,Manhattan,False,-73.96547935663406,40.80197051563419,297.03513513513514,378.58004158004155,27.452949768992085
25,Boerum Hill,Brooklyn,False,-73.98611374739605,40.685633701390586,72.34594594594594,161.85654885654887,123.72580348521774
26,Borough Park,Brooklyn,False,-73.98866057160336,40.630949253264255,12.550408719346049,36.773388773388774,193.00550759517327
27,Breezy Point/Fort Tilden/Riis Beach,Queens,False,-73.90691199328067,40.559134755628214,1.5583333333333333,2.032258064516129,30.41228221493877
28,Briarwood/Jamaica Hills,Queens,False,-73.80872922918115,40.71159648931973,16.2027027027027,39.54885654885655,144.08802206967346
29,Brighton Beach,Brooklyn,False,-73.96121662082737,40.580921751571346,8.929347826086957,19.79209979209979,121.65224356338169
30,Broad Channel,Queens,False,-73.82192752206782,40.60368693988757,1.180722891566265,1.4044444444444444,18.94784580498865
31,Bronx Park,Bronx,False,-73.87547602176667,40.85774566451417,2.0357142857142856,3.9977272727272726,96.37958532695374
32,Bronxdale,Bronx,False,-73.86490091353166,40.86400203645644,5.553424657534246,18.5010395010395,233.14649323529443
33,Brooklyn Heights,Brooklyn,False,-73.99525009947318,40.6957980847225,97.41621621621621,185.75883575883577,90.685743066167
34,Brooklyn Navy Yard,Brooklyn,False,-73.97118860464191,40.70085574405344,8.576704545454545,25.38125,195.93242795627694
35,Brownsville,Brooklyn,False,-73.91025776959916,40.664002936640344,32.543243243243246,92.51559251559252,184.2851028217692
36,Bushwick North,Brooklyn,False,-73.91770956300488,40.70052207677384,25.924324324324324,122.6881496881497,373.25495605312125
37,Bushwick South,Brooklyn,False,-73.92223688327465,40.69499398960586,39.2,196.8981288981289,402.291145148288
38,Cambria Heights,Queens,False,-73.73555411751046,40.69434123971375,6.024725274725275,13.237006237006238,119.71136663339128
39,Canarsie,Brooklyn,False,-73.8997346848635,40.63803689672939,42.18648648648649,109.63617463617463,159.8845833518138
40,Carroll Gardens,Brooklyn,False,-73.99595622535054,40.67919897887253,21.997297297297298,50.983367983367984,131.77105484514254
41,Central Harlem,Manhattan,False,-73.95129204385638,40.804333857858566,398.4891891891892,647.4511434511435,62.47646385803345
42,Central Harlem North,Manhattan,False,-73.94077208625764,40.8182572500734,196.44324324324324,438.1975051975052,123.06570486362465
43,Central Park,Manhattan,False,-73.96555540550199,40.78247701262984,1831.418918918919,1723.114345114345,-5.913697444411337
44,Charleston/Tottenville,Staten Island,False,-74.23353546082052,40.52549110546785,1.05,1.135135135135135,8.108108108108091
45,Chinatown,Manhattan,True,-73.99815145865519,40.712459285136994,174.37567567567567,285.2931392931393,63.60833481371617
46,City Island,Bronx,False,-73.78198762631824,40.84908569070797,1.7619047619047619,2.825436408977556,60.36260699602345
47,Claremont/Bathgate,Bronx,False,-73.90031694602852,40.84274838600792,8.475675675675676,25.823284823284823,204.67523547880688
48,Clinton East,Manhattan,True,-73.98984489812494,40.76225259858687,2771.327027027027,2989.4282744282746,7.869920989989354
49,Clinton Hill,Brooklyn,False,-73.96236337094902,40.68796720602698,39.01891891891892,121.23700623700624,210.7133913395602
50,Clinton West,Manhattan,True,-73.99513534858681,40.76623762332451,676.6081081081081,875.7671517671517,29.434918274319898
51,Co-Op City,Bronx,False,-73.82826339600581,40.87397243195906,16.232432432432432,42.61330561330561,162.51953175030098
52,Cobble Hill,Brooklyn,False,-73.99672407074303,40.6866511779156,28.43243243243243,50.59251559251559,77.93945598128107
53,College Point,Queens,False,-73.84281297899702,40.780911658515755,4.458923512747876,12.108108108108109,171.54778666849825
54,Columbia Street,Brooklyn,False,-74.00291135102258,40.68720061705317,5.254189944134078,14.274428274428274,171.67705062441905
55,Coney Island,Brooklyn,False,-73.98794360684474,40.576961310705336,21.705405405405404,48.11642411642411,121.67945365554628
56,Corona,Queens,False,-73.85884527575628,40.741406719488175,13.95945945945946,37.78794178794179,170.6977436890312
57,Corona,Queens,False,-73.8535815482027,40.751819339588245,1.8944723618090453,3.470731707317073,83.2030795109012
58,Country Club,Bronx,False,-73.8203932847595,40.84145193921358,1.4054054054054055,2.4099216710182767,71.4751958224543
59,Crotona Park,Bronx,False,-73.89498592772226,40.83855027505839,1.1758241758241759,1.6015037593984962,36.20265617314313
60,Crotona Park East,Bronx,False,-73.88590027069773,40.83399041103506,6.21978021978022,20.6008316008316,231.2147836882819
61,Crown Heights North,Brooklyn,False,-73.93928693565553,40.674469714192334,75.47297297297297,236.16839916839916,212.91784312375182
62,Crown Heights South,Brooklyn,False,-73.94878830363868,40.666540670529315,24.501355013550135,68.1912681912682,178.31631415305787
63,Cypress Hills,Brooklyn,False,-73.87817285854474,40.68383988904548,11.271739130434783,45.0997920997921,300.11387398079773
64,Douglaston,Queens,False,-73.73933650195845,40.760614500455986,2.403125,5.197033898305085,116.26148861607635
65,Downtown Brooklyn/MetroTech,Brooklyn,False,-73.98608592282788,40.69533747220738,138.70810810810812,212.989604989605,53.55238269388145
66,DUMBO/Vinegar Hill,Brooklyn,False,-73.98570157061832,40.70225894512564,86.98378378378378,188.86278586278587,117.1241323925888
67,Dyker Heights,Brooklyn,False,-74.01380228070624,40.6196189778478,5.142045454545454,15.29375,197.42541436464086
68,East Chelsea,Manhattan,True,-73.99991779023728,40.7484273300986,2978.754054054054,3281.5384615384614,10.164800516924878
69,East Concourse/Concourse Village,Bronx,False,-73.91503006977001,40.83141625187568,19.58108108108108,54.022869022869024,175.8931889366672
70,East Elmhurst,Queens,False,-73.86839538867875,40.76335208099607,420.22972972972974,325.94178794178794,-22.437237329349113
71,East Flatbush/Farragut,Brooklyn,False,-73.93796619973367,40.6442876673477,25.87837837837838,75.98128898128898,193.60915846555537
72,East Flatbush/Remsen Village,Brooklyn,False,-73.92225101477305,40.652364445415,30.57837837837838,85.86902286902287,180.816143375804
73,East Flushing,Queens,False,-73.80729410936029,40.75410890581649,2.1993569131832795,5.420168067226891,146.4433141677724
74,East Harlem North,Manhattan,False,-73.9373456595586,40.80116912880846,692.2702702702703,898.941787941788,29.854166291271
75,East Harlem South,Manhattan,False,-73.94575022751276,40.79001067629398,952.4702702702702,1194.8316008316008,25.44555332866807
76,East New York,Brooklyn,False,-73.87682021500527,40.66093415791352,54.66486486486487,166.57380457380458,204.71822254676007
